Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Pumpkin,Northern Jordan Valley,"fertile, high organic matrial well-drained soil devoid of salt,irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =166-180, ",1,10,1,12,no,12000,seedlings/ha,50-80,Days,10,1,30,3,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"fertile, high organic matrial well-drained soil devoid of salt,irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =166-180. Open field",,,,,
Pumpkin,Northern Jordan Valley,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =266,",1,2,1,4,no,12000,seedlings/ha,70-90,Days,10,5,1,7,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =266. Open field",,,,,
Tomato,Northern Jordan Valley,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =351-383, ",1,9,15,11,no,12000-14000,seedlings/ha,90-150,Days,20,2,20,4,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =351-383. Open field",,,,,
Tomato,Northern Jordan Valley,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =513,",1,1,10,1,no,12000-14000,corms/ha,70-90,Days,20,1,20,1,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =513. Open field",,,,,
Okra,Northern Jordan Valley,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7, CWR (m3 water/du.) =555, ",1,3,1,4,no,5000-7000,gr/ha,150,Days,30,6,30,7,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7, CWR (m3 water/du.) =555. Open field",,,,,
Eggplant,Northern Jordan Valley,"sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, CWR (m3 water/du.) =800 ",1,9,1,1,no,12000-14000,seedlings/ha,70-80,Days,15,11,15,3,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, CWR (m3 water/du.) =800 ",,,,,
Sweet pepper,Northern Jordan Valley,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., CWR (m3 water/du.) =750-1000",1,10,1,11,no,23000-25000,seedlings/ha,240,Days,1,6,1,7,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., CWR (m3 water/du.) =750-1000",,,,,
Spinach,Northern Jordan Valley,"All types of soil with good drainage,irrigated, productivity 2-3",15,10,15,11,no,15-20,kg/ha,50-60,Days,15,12,15,1,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"All types of soil with good drainage,irrigated, productivity 2-3",,,,,
Cucumber,Northern Jordan Valley,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., CWR (m3 water/du.) =500",15,12,15,1,no,24000-26000,seedlings/ha,80-100,Days,15,6,15,7,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., CWR (m3 water/du.) =500",,,,,
Jew's Mallow,Northern Jordan Valley,"From heavy to light, fertile with good drainage and aeration,irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",15,5,15,7,no,50,kg/ha,50-70,Days,15,7,15,9,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"From heavy to light, fertile with good drainage and aeration,irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",,,,,
"Squash, winter",Middle Jordan Valley,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =276-293, ",1,9,15,10,no,24000-26000,seedlings/ha,80-100,Days,20,1,30,3,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =276-293. Greenhouse",,,,,
Cucumber,Middle Jordan Valley,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., CWR (m3 water/du.) =442, ",15,11,15,12,no,24000-26000,seedlings/ha,81-100,Days,15,5,15,6,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 300 kg org. fert., 6 ton in protected agric., CWR (m3 water/du.) =442. Greenhouse ",,,,,
Tomato,Middle Jordan Valley,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =548,",1,11,15,1,no,23000-25000,seedlings/ha,90-150,Days,30,5,15,7,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =548. Greenhouse",,,,,
Sweet pepper,Middle Jordan Valley,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert.,CWR (m3 water/du.) =451-526,",15,9,15,10,no,23000-25000,seedlings/ha,240,Days,30,5,30,6,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert.,CWR (m3 water/du.) =451-526. Greenhouse",,,,,
Eggplant,Middle Jordan Valley,"sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, CWR (m3 water/du.) =436, ",15,10,15,2,no,12000-14000,seedlings/ha,210-240,Days,30,5,15,9,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, CWR (m3 water/du.) =436. Greenhouse",,,,,
Jew's Mallow,Middle Jordan Valley,"From heavy to light, fertile with good drainage and aeration,irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",15,4,15,6,no,50,kg/ha,50-70,Days,31,5,30,7,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","From heavy to light, fertile with good drainage and aeration,irrigated, productivity 1.5-3, CWR (m3 water/du.) =171. Greenhouse",,,,,
Tomato,Middle Jordan Valley,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =437-581, ",15,8,1,10,no,12000-14000,seedlings/ha,90-150,Days,10,3,30,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, CWR (m3 water/du.) =588-718. Open field",,,,,
Tomato,Middle Jordan Valley,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, CWR (m3 water/du.) =437-581, ",15,8,1,10,no,12000-14000,seedlings/ha,90-150,Days,10,3,30,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, CWR (m3 water/du.) =588-718. Open field",,,,,
